[-0.55, 0.6]
[-0.5493163066704072, 0.5725847628866165]
[-0.5472669264509707, 0.5452376843723007]
[-0.5438569544238206, 0.518026753603104]
[-0.5390948683166992, 0.49101962124033144]
[-0.5329925074259929, 0.4642834312703385]
[-0.5255650431823774, 0.4378846540740028]
[-0.5168309414322497, 0.4118889211708822]
[-0.5068119165287243, 0.38636086204891784]
[-0.49553287734633056, 0.3613639434853431]
[-0.48302186535362573, 0.33696031175827496]
[-0.4693099848976856, 0.3132106381412759]
[-0.45443132587379725, 0.29017396806500784]
[-0.4384228789726075, 0.26790757432098755]
[-0.4213244437154379, 0.24646681467240342]
[-0.4031785295064045, 0.2259049942259943]
[-0.3840302499473401, 0.2062732329071549]
[-0.3639272106782729, 0.18762033836774628]
[-0.3429193910223036, 0.16999268464258369]
[-0.3210590197291345, 0.15343409685627893]
[-0.29840044512616765, 0.1379857422670757]
[-0.2750000000000003, 0.12368602791855893]
[-0.2509158615442398, 0.11057050515369235]
[-0.2262079067218364, 0.0986717812285798]
[-0.20093756340151767, 0.08801943824568781]
[-0.1751676576384263, 0.07863995960807744]
[-0.14896225747865305, 0.07055666417749341]
[-0.12238651367597352, 0.06378964829999711]
[-0.0955064977168117, 0.05835573584328563]
[-0.06838903755611675, 0.05426843636990532]
[-0.041101551472533145, 0.051537911550350944]
[-0.013711880455940269, 0.05017094989955103]
[0.01371188045594, 0.05017094989955103]
[0.04110155147253337, 0.051537911550350944]
[0.06838903755611649, 0.05426843636990532]
[0.09550649771681145, 0.05835573584328552]
[0.12238651367597328, 0.06378964829999711]
[0.1489622574786528, 0.07055666417749341]
[0.17516765763842604, 0.07863995960807744]
[0.20093756340151742, 0.08801943824568775]
[0.22620790672183616, 0.09867178122857974]
[0.2509158615442391, 0.11057050515369202]
[0.275, 0.12368602791855875]
[0.29840044512616776, 0.1379857422670758]
[0.3210590197291346, 0.1534340968562791]
[0.3429193910223033, 0.16999268464258352]
[0.3639272106782726, 0.18762033836774616]
[0.38403024994734003, 0.2062732329071549]
[0.4031785295064042, 0.22590499422599414]
[0.4213244437154377, 0.24646681467240325]
[0.43842287897260757, 0.26790757432098783]
[0.45443132587379714, 0.2901739680650079]
[0.4693099848976854, 0.3132106381412758]
[0.48302186535362573, 0.33696031175827523]
[0.4955328773463304, 0.36136394348534295]
[0.5068119165287239, 0.3863608620489174]
[0.5168309414322497, 0.41188892117088227]
[0.5255650431823774, 0.43788465407400284]
[0.5329925074259928, 0.46428343127033833]
[0.5390948683166992, 0.49101962124033127]
[0.5438569544238206, 0.5180267536031041]
[0.5472669264509706, 0.5452376843723005]
[0.5493163066704072, 0.5725847628866163]
[0.55, 0.6]
[0.5493163066704072, 0.6274152371133834]
[0.5472669264509707, 0.6547623156276992]
[0.5438569544238206, 0.681973246396896]
[0.5390948683166992, 0.7089803787596686]
[0.5329925074259929, 0.7357165687296615]
[0.5255650431823774, 0.7621153459259973]
[0.5168309414322497, 0.7881110788291178]
[0.5068119165287241, 0.8136391379510821]
[0.4955328773463305, 0.838636056514657]
[0.4830218653536257, 0.8630396882417252]
[0.4693099848976856, 0.8867893618587239]
[0.4544313258737972, 0.9098260319349922]
[0.43842287897260734, 0.9320924256790125]
[0.42132444371543787, 0.9535331853275966]
[0.4031785295064045, 0.9740950057740057]
[0.38403024994734003, 0.9937267670928452]
[0.36392721067827266, 1.0123796616322538]
[0.3429193910223035, 1.0300073153574165]
[0.3210590197291345, 1.046565903143721]
[0.2984004451261677, 1.0620142577329243]
[0.2750000000000001, 1.0763139720814414]
[0.2509158615442396, 1.0894294948463077]
[0.22620790672183633, 1.1013282187714204]
[0.20093756340151725, 1.1119805617543124]
[0.17516765763842645, 1.1213600403919224]
[0.14896225747865285, 1.1294433358225064]
[0.12238651367597295, 1.136210351700003]
[0.09550649771681172, 1.1416442641567144]
[0.06838903755611679, 1.1457315636300947]
[0.0411015514725333, 1.148462088449649]
[0.01371188045594017, 1.149829050100449]
[-0.013711880455940103, 1.149829050100449]
[-0.041101551472533346, 1.148462088449649]
[-0.06838903755611683, 1.1457315636300947]
[-0.09550649771681166, 1.1416442641567144]
[-0.12238651367597288, 1.136210351700003]
[-0.14896225747865288, 1.1294433358225064]
[-0.1751676576384264, 1.1213600403919226]
[-0.2009375634015173, 1.1119805617543124]
[-0.22620790672183635, 1.1013282187714204]
[-0.2509158615442396, 1.0894294948463077]
[-0.2749999999999999, 1.0763139720814414]
[-0.29840044512616765, 1.0620142577329243]
[-0.3210590197291345, 1.046565903143721]
[-0.3429193910223036, 1.0300073153574163]
[-0.3639272106782727, 1.0123796616322538]
[-0.38403024994734, 0.9937267670928452]
[-0.4031785295064045, 0.9740950057740055]
[-0.4213244437154378, 0.9535331853275967]
[-0.43842287897260734, 0.9320924256790125]
[-0.45443132587379725, 0.909826031934992]
[-0.4693099848976856, 0.8867893618587239]
[-0.48302186535362573, 0.8630396882417248]
[-0.49553287734633045, 0.838636056514657]
[-0.5068119165287243, 0.813639137951082]
[-0.5168309414322496, 0.7881110788291179]
[-0.5255650431823774, 0.7621153459259973]
[-0.5329925074259929, 0.7357165687296614]
[-0.5390948683166992, 0.7089803787596687]
[-0.5438569544238206, 0.6819732463968959]
[-0.5472669264509707, 0.6547623156276992]
[-0.5493163066704072, 0.6274152371133835]
