[-0.65, 0.6]
[-0.6491919987922995, 0.5676001743205468]
[-0.6467700039875109, 0.535280899712719]
[-0.6427400370463335, 0.5031225269854867]
[-0.6371121171015535, 0.47120500692039174]
[-0.6299002360489007, 0.43960769150130913]
[-0.6211223237609915, 0.40840913663291245]
[-0.6108002035108404, 0.3776869068383154]
[-0.598959537715765, 0.34751738242144836]
[-0.5856297641365725, 0.3179755695735873]
[-0.5708440226906486, 0.28913491389614315]
[-0.5546390730609011, 0.2610671178033261]
[-0.5370552033053967, 0.23384196225864565]
[-0.5181361296948997, 0.20752713328843986]
[-0.49792888802733576, 0.18218805370374946]
[-0.4764837166893871, 0.15788772044890237]
[-0.4538539317559474, 0.13468654798118307]
[-0.43009579443795887, 0.11264221807097288]
[-0.405268371208177, 0.0918095363957807]
[-0.3794333869526134, 0.07224029628469328]
[-0.3526550715127435, 0.05398314995199848]
[-0.32500000000000034, 0.037083487540115014]
[-0.29653692727955616, 0.021583324272545498]
[-0.2673366170348976, 0.007521195997412406]
[-0.23747166583815724, -0.005067936618732574]
[-0.2070163226635947, -0.016152775008635673]
[-0.17604630429295362, -0.02570576051750777]
[-0.14463860707160506, -0.03370314291818522]
[-0.11287131548350475, -0.04012503945793526]
[-0.08082340802086524, -0.04495548429011183]
[-0.048574560831175534, -0.04818246816776707]
[-0.016204949629747584, -0.04979796830053056]
[0.01620494962974728, -0.04979796830053056]
[0.048574560831175805, -0.04818246816776707]
[0.08082340802086496, -0.04495548429011194]
[0.11287131548350444, -0.04012503945793526]
[0.14463860707160478, -0.03370314291818522]
[0.1760463042929533, -0.02570576051750777]
[0.20701632266359443, -0.016152775008635784]
[0.23747166583815696, -0.005067936618732688]
[0.2673366170348973, 0.007521195997412406]
[0.2965369272795553, 0.021583324272545043]
[0.325, 0.0370834875401149]
[0.3526550715127437, 0.05398314995199871]
[0.37943338695261364, 0.0722402962846935]
[0.40526837120817666, 0.09180953639578059]
[0.43009579443795853, 0.11264221807097277]
[0.45385393175594735, 0.13468654798118307]
[0.4764837166893868, 0.15788772044890215]
[0.49792888802733554, 0.1821880537037493]
[0.5181361296948999, 0.20752713328844016]
[0.5370552033053967, 0.2338419622586457]
[0.554639073060901, 0.2610671178033259]
[0.5708440226906487, 0.28913491389614343]
[0.5856297641365724, 0.317975569573587]
[0.5989595377157648, 0.3475173824214479]
[0.6108002035108404, 0.3776869068383154]
[0.6211223237609915, 0.40840913663291245]
[0.6299002360489007, 0.4396076915013089]
[0.6371121171015535, 0.4712050069203915]
[0.6427400370463335, 0.5031225269854867]
[0.6467700039875108, 0.5352808997127187]
[0.6491919987922995, 0.5676001743205465]
[0.65, 0.6]
[0.6491919987922995, 0.6323998256794532]
[0.6467700039875109, 0.6647191002872809]
[0.6427400370463335, 0.6968774730145134]
[0.6371121171015535, 0.7287949930796084]
[0.6299002360489007, 0.7603923084986909]
[0.6211223237609914, 0.7915908633670877]
[0.6108002035108404, 0.8223130931616848]
[0.598959537715765, 0.8524826175785515]
[0.5856297641365725, 0.8820244304264128]
[0.5708440226906486, 0.9108650861038569]
[0.5546390730609012, 0.9389328821966737]
[0.5370552033053967, 0.9661580377413543]
[0.5181361296948996, 0.9924728667115603]
[0.4979288880273357, 1.0178119462962505]
[0.4764837166893871, 1.0421122795510975]
[0.45385393175594735, 1.0653134520188168]
[0.4300957944379586, 1.0873577819290272]
[0.4052683712081769, 1.1081904636042192]
[0.37943338695261347, 1.1277597037153069]
[0.3526550715127436, 1.1460168500480012]
[0.32500000000000007, 1.162916512459885]
[0.2965369272795559, 1.1784166757274548]
[0.2673366170348975, 1.1924788040025875]
[0.23747166583815676, 1.205067936618733]
[0.20701632266359488, 1.2161527750086356]
[0.17604630429295334, 1.2257057605175077]
[0.1446386070716044, 1.2337031429181853]
[0.11287131548350478, 1.240125039457935]
[0.08082340802086528, 1.2449554842901118]
[0.04857456083117571, 1.2481824681677671]
[0.016204949629747473, 1.2497979683005305]
[-0.016204949629747393, 1.2497979683005305]
[-0.04857456083117578, 1.2481824681677671]
[-0.08082340802086536, 1.2449554842901118]
[-0.11287131548350471, 1.240125039457935]
[-0.14463860707160434, 1.2337031429181853]
[-0.17604630429295337, 1.2257057605175077]
[-0.20701632266359482, 1.2161527750086356]
[-0.23747166583815682, 1.205067936618733]
[-0.26733661703489753, 1.1924788040025875]
[-0.29653692727955594, 1.1784166757274546]
[-0.32499999999999984, 1.1629165124598853]
[-0.35265507151274356, 1.1460168500480015]
[-0.37943338695261347, 1.1277597037153066]
[-0.405268371208177, 1.1081904636042192]
[-0.43009579443795865, 1.0873577819290272]
[-0.45385393175594724, 1.065313452018817]
[-0.4764837166893871, 1.0421122795510975]
[-0.49792888802733565, 1.0178119462962507]
[-0.5181361296948996, 0.9924728667115603]
[-0.5370552033053967, 0.9661580377413542]
[-0.5546390730609012, 0.9389328821966737]
[-0.5708440226906487, 0.9108650861038569]
[-0.5856297641365724, 0.8820244304264129]
[-0.598959537715765, 0.8524826175785515]
[-0.6108002035108404, 0.8223130931616848]
[-0.6211223237609915, 0.7915908633670877]
[-0.6299002360489007, 0.7603923084986907]
[-0.6371121171015535, 0.7287949930796085]
[-0.6427400370463335, 0.6968774730145133]
[-0.6467700039875109, 0.6647191002872809]
[-0.6491919987922995, 0.6323998256794533]
